Journal,Peer review guidelines,Guidelines source,Website,Publisher
Acta Geologica Polonica,,,https://geojournals.pgi.gov.pl/agp/index,De Gruyter Open
"Acta Musei Nationalis Pragae, Series B - Historia Naturalis",,,http://publikace.nm.cz/publikace/publikace-detail.php?id=6,Narodni Museum
Acta Palaeobotanica,,,http://www.botany.pl/ibwyd/acta_paleo/act-p.htm,De Gruyter Open
Acta Palaeontologica Polonica,,,http://www.app.pan.pl/home.html,"Polskiej Akademii Nauk, Instytut Paleobiologii (Polish Academy of Sciences, Institue of Paleobiology) "
Acta Palaeontologica Romaniae,,,http://actapalrom.geo-paleontologica.org/,Romanian Society of Paleontologists
American Museum Novitates,,,http://digitallibrary.amnh.org/handle/2246/9,American Museum of Natural History
Anais da Academia Brasileira de Ciencias,,,http://www.scielo.br/revistas/aabc/iaboutj.htm,Academia Brasileira de Ciencias
Andean Geology,,,http://www.andeangeology.cl/index.php/revista1,Servicio Nacional de Geologia y Mineralia
Annales Societatis Geologorum Poloniae,,,https://geojournals.pgi.gov.pl/asgp,Polish Geological Society
Arthropod Systematics & Phylogeny,,,http://www.senckenberg.de/root/index.php?page_id=8057&PHPSESSID=m2fqdj7bb28tol6lpask4ot602&PHPSESSID=m2fqdj7bb28tol6lpask4ot602,Senckenberg Gesellschaft fur Naturforschung
Austrian Journal of Earth Sciences,,,http://www.univie.ac.at/ajes/guidelines/,Austrian Geological Society
Boletin de Ciencias de la Tierra,,,https://minas.medellin.unal.edu.co/centro-editorial/revistas/boletin-de-ciencias-de-la-tierra,National University of Colombia
Boletin de la Sociedad Geologica Mexicana,,,http://boletinsgm.igeolcu.unam.mx/bsgm/,Sociedad Geologica Mexicana
Bollettino Della Societa Paleontologica Italiana,,,http://paleoitalia.org/archives/,Italian Paleontological Society
Brazilian Journal of Geology,,,http://www.scielo.br/scielo.php?script=sci_serial&pid=2317-4889&lng=en&nrm=iso,Brazilian Geological Society
Bulletin of Geosciences,,,http://www.geology.cz/bulletin/scope,Czech Geological Survey
Bulletin of the Geological Society of Denmark,,,http://2dgf.dk/publikationer/bulletin/,Geological Society of Denmark
Bulletin of the Peabody Museum of Natural History,,,http://peabody.yale.edu/scientific-publications/bulletin-peabody-museum-natural-history,Peabody Museum of Natural History
Carnets de Geologie,,,http://paleopolis.rediris.es/cg/uk-information.html#Recommendations,Carnets de Geologie
Contemporary Trends in Geoscience,,,https://content.sciendo.com/view/journals/ctg/ctg-overview.xml,De Gruyter Open
Contributions to Zoology,,,http://www.ctoz.nl/cgi/t/text/text-idx?c=ctz;cc=ctz;sid=81494957959b3dee00c2efc756506a06;tpl=home.tpl,Naturalis Biodiversity Center
European Journal of Taxonomy,,,https://europeanjournaloftaxonomy.eu/index.php/ejt/index,Consortium of European Natural History Museums
Fossil Record,,,http://www.fossil-record.net/index.html,Copernicus
Geodiversitas,,,http://sciencepress.mnhn.fr/en/periodiques/geodiversitas,Museum National d'Histoire Naturelle
Geologica Acta,,,http://revistes.ub.edu/index.php/GEOACTA/index,University of Barcelona and Institute of Earth Sciences
Geologica Belgica,,,https://popups.uliege.be/1374-8505/index.php,University of Liege
Geological Curators Group,,,https://geocurator.org/resources/18-geological-curator,Geological Curators' Group
Geological Quarterly,,,https://gq.pgi.gov.pl/index,Polish Geological Institute - National Research Institute
Geological Survey of Denmark and Greenland Bulletin,,,https://eng.geus.dk/products-services-facilities/publications/geus-bulletin/,Geoloical Survey of Denmark and Greenland
Geologie de la France,,,http://geolfrance.brgm.fr/,BRGM (French National Geological Survey)
Geologija,,,http://www.geologija-revija.si/,De Gruyter Open
"Geology, Geophysics & Environment",,,https://journals.agh.edu.pl/index/index,AGH University of Science and Technology
Journal of Mediterranean Earth Sciences,,,http://jmes.it/index.php/jmes/index,Universita  di Roma
Journal of Micropalaeontology,,,http://jm.lyellcollection.org/,Geological Society of London
Journal of Natural Science Collections,,,http://www.natsca.org/jonsc-guidelines-for-authors,Natural Sciences Collections Association
Journal of Paleontological Techniques,,,http://www.jpaleontologicaltechniques.org/,Scholastica
Journal of the Palaeontological Society of India,,,http://palaeontologicalsociety.in/publication.php,The Palaeontological Society of India
Norwegian Journal of Geology,,,https://njg.geologi.no/,Norsk Geologisk Forening
Palaeodiversity,,,http://www.palaeodiversity.org/,Staatliches Museum fur Naturkunde Stuttgart
Palaeontologia Electronica,,,https://palaeo-electronica.org/index.html,Coquina Press
PaleoBios,,,https://escholarship.org/uc/ucmp_paleobios,University of California Museum of Paleontology
Polar Research,,,https://www.tandfonline.com/loi/zpor20,Taylor and Francis
Proceedings of the Linnean Society of New South Wales,,,https://openjournals.library.sydney.edu.au/index.php/LIN/index,The University of Sydney
Proceedings of the Zoological Institute of the Russian Academy of Sciences,,,https://www.zin.ru/journals/trudyzin/eng/index.html,Zoological Institute of the Russian Academy of Sciences
Revista Brasileira de Paleontologia,,,http://www.sbpbrasil.org/en/revista,Brazilian Society of Palaeontology
Revista de la Asociacion Geologica Argentina,,,http://ppct.caicyt.gov.ar/raga,Asociacion Geologica Argentina
Revista del Museo Argentino de Ciencias Naturales,,,http://revista.macn.gob.ar/ojs/index.php/RevMus/index,Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigacion de las Ciencias Naturales
Revista Mexicana de Ciencias Geologicas,,,http://www.rmcg.unam.mx/,Universidad Nacional Autonoma de Mexico
Revue de Paleobiologie,,,http://institutions.ville-geneve.ch/fr/mhn/frontpage/revue-de-paleobiologie/,Museum d'Histoire Naturelle de la Ville de Geneve
Rivista Italiana di Paleontologia e Stratigrafia,,,https://riviste.unimi.it/index.php/RIPS/index,Universita degli Studi di Milano
Russian Journal of Earth Science,,,http://rjes.wdcb.ru/,"Geophysical Center, Russian Academy of Science"
Turkish Journal of Earth Sciences,,,http://journals.tubitak.gov.tr/earth/index.htm,Scientific and Technological Research Council of Turkey
Vertebrata PalAsiatica,,,http://english.ivpp.cas.cn/sp/PalAsiatica/vp_list/,Science Press
Vertebrate Anatomy Morphology Palaeontology,,,https://journals.library.ualberta.ca/vamp/index.php/VAMP/index,University of Alberta
Zitteliana A,,,https://bspg.palmuc.org/index.php/de/publikationen-zitteliana,Bayerischen Staatssammlung fur Palaontologie und historische Geologie
Zitteliana B,,,https://bspg.palmuc.org/index.php/de/publikationen-zitteliana,Bayerischen Staatssammlung fur Palaontologie und historische Geologie
Zoosystematica Rossica,,,https://www.zin.ru/journals/zsr/default.asp,"Zoological Institute, Russian Academy of Sciences"
Zootaxa,,,https://www.mapress.com/j/zt/index,Magnolia Press
Ameghiniana,,,http://www.ameghiniana.org.ar/,Open Journal Systems
African Invertebrates,,,https://africaninvertebrates.pensoft.net/,Pensoft
Estonian Journal of Earth Sciences,,,http://www.kirj.ee/10394/,Estonian Academy Publishers
Bulletin de la Societe Geologique de France (BSGF-Earth Sciences Bulletin),,,http://bsgf.geoscienceworld.org/,Societe Geologique de France
PeerJ,,,https://peerj.com/,PeerJ
Comptes Rendus - Palevol,,,https://www.journals.elsevier.com/comptes-rendus-palevol/,Elsevier
International Journal of Paleopathology,,,https://www.journals.elsevier.com/international-journal-of-paleopathology/,Elsevier
Geochronometria,,,http://www.geochronometria.pl/,De Gruyter Open
Royal Society Open Science,,,https://royalsocietypublishing.org/journal/rsos,The Royal Society
Journal of Paleontology,,,https://www.cambridge.org/core/journals/journal-of-paleontology,Cambridge University Press
Paleobiology,,,https://www.cambridge.org/core/journals/paleobiology,Cambridge University Press
FACETS,,,http://www.facetsjournal.com,NRC Research Press
Biology Open,,,http://bio.biologists.org/content/aims,Company of Biologists
PLoS One,,,http://www.plosone.org/,PLOS
Journal of Vertebrate Paleontology,,,https://www.tandfonline.com/loi/ujvp20,Taylor and Francis
Scientific Reports,,,https://www.nature.com/srep/,SpringerNature
Systematic Biology,,,https://academic.oup.com/sysbio,Oxford University Press
Frontiers in Earth Science,,,https://www.frontiersin.org/journals/earth-science#,Frontiers
Frontiers in Ecology and Evolution,,,https://www.frontiersin.org/journals/ecology-and-evolution#,Frontiers
Ecology and Evolution,,,https://onlinelibrary.wiley.com/page/journal/20457758/homepage/ProductInformation.html,Wiley
Naturwissenschaften (The Science of Nature),,,https://www.springer.com/life+sciences/journal/114,SpringerNature
Proceedings of the National Academy of Sciences of the United States of America,,,https://www.pnas.org/,National Academy of Sciences
BMC Evolutionary Biology,,,http://www.biomedcentral.com/bmcevolbiol/,BioMed Central
Frontiers in Zoology,,,http://www.frontiersinzoology.com/,Frontiers
Biology Letters,,,http://rsbl.royalsocietypublishing.org/,The Royal Society
Philosophical Transactions of the Royal Society B,,,https://royalsocietypublishing.org/journal/rstb,The Royal Society
Proceedings of the Royal Society B,,,https://royalsocietypublishing.org/journal/rspb,The Royal Society
Arthropod Structure & Development,,,http://www.journals.elsevier.com/arthropod-structure-and-development/,Elsevier
Journal of Geology,,,https://www.journals.uchicago.edu/toc/jg/current,University of Chicago Press
Evolutionary Ecology,,,https://www.springer.com/life+sciences/evolutionary+&+developmental+biology/journal/10682,SpringerNature
Facies,,,https://www.springer.com/earth+sciences+and+geography/geology/journal/10347,SpringerNature
EvoDevo,,,http://www.evodevojournal.com/about,BioMed Central
Elife,,,http://elifesciences.org/,Elife Sciences Publications
Geological Society of America Bulletin,,,https://pubs.geoscienceworld.org/gsabulletin,Geological Society of America
Geology,,,https://pubs.geoscienceworld.org/geology,Geological Society of America
Journal of African Earth Sciences,,,https://www.journals.elsevier.com/journal-of-african-earth-sciences/,Elsevier
Journal of South American Earth Sciences,,,https://www.journals.elsevier.com/journal-of-south-american-earth-sciences/,Elsevier
Marine Micropaleontology,,,https://www.journals.elsevier.com/marine-micropaleontology/,Elsevier
Papers in Palaeontology,,,https://onlinelibrary.wiley.com/page/journal/20562802/homepage/FundedAccess.html,Wiley
Science Bulletin,,,https://www.journals.elsevier.com/science-bulletin,SpringerOpen/Science China Press
The American Naturalist,,,https://www.journals.uchicago.edu/toc/an/current,University of Chicago Press
Alcheringa,,,http://www.tandfonline.com/toc/talc20/current,Taylor and Francis
GFF,,,https://www.tandfonline.com/loi/sgff20,Taylor and Francis
Grana,,,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=sgra20,Taylor and Francis
Historical Biology,,,https://www.tandfonline.com/loi/ghbi20,Taylor and Francis
Ichnos,,,https://www.tandfonline.com/loi/gich20,Taylor and Francis
Journal of Systematic Palaeontology,,,https://www.tandfonline.com/loi/tjsp20,Taylor and Francis
New Zealand Journal of Geology and Geophysics,,,https://www.tandfonline.com/loi/tnzg20,Taylor and Francis
Palynology,,,https://palynology.org/publications/palynology-journal-current-and-past-papers/,Taylor and Francis
Journal of Asian Earth Sciences,,,https://www.journals.elsevier.com/journal-of-asian-earth-sciences,Elsevier
Journal of Earth Science,,,https://www.springer.com/earth+sciences+and+geography/journal/12583,SpringerNature
